,precision,recall,f1-score,support
0,0.7114427860696517,0.715,0.713216957605985,1000.0
1,0.6530920060331825,0.866,0.7446259673258814,1000.0
2,0.6429530201342282,0.479,0.548997134670487,1000.0
3,0.5899280575539568,0.328,0.42159383033419023,1000.0
4,0.6559006211180124,0.528,0.5850415512465375,1000.0
5,0.6259711431742508,0.564,0.5933719095213046,1000.0
6,0.5549968573224388,0.883,0.6815901196449248,1000.0
7,0.6824264049955397,0.765,0.7213578500707214,1000.0
8,0.7584269662921348,0.81,0.7833655705996132,1000.0
9,0.6258503401360545,0.552,0.5866099893730075,1000.0
accuracy,0.649,0.649,0.649,0.649
macro avg,0.6500988202829451,0.649,0.6379770880392653,10000.0
weighted avg,0.6500988202829451,0.649,0.6379770880392652,10000.0
