,precision,recall,f1-score,support
0,0.7843530591775326,0.782,0.7831747621432148,1000.0
1,0.8183520599250936,0.874,0.8452611218568665,1000.0
2,0.6828729281767956,0.618,0.6488188976377953,1000.0
3,0.6692073170731707,0.439,0.5301932367149759,1000.0
4,0.7379912663755459,0.676,0.7056367432150313,1000.0
5,0.7155457552370452,0.649,0.680650235972732,1000.0
6,0.639943741209564,0.91,0.7514450867052023,1000.0
7,0.7396396396396396,0.821,0.7781990521327015,1000.0
8,0.8434343434343434,0.835,0.8391959798994975,1000.0
9,0.7599611273080661,0.782,0.7708230655495318,1000.0
accuracy,0.7386,0.7386,0.7386,0.7386
macro avg,0.7391301237556797,0.7386,0.733339818182755,10000.0
weighted avg,0.7391301237556797,0.7386,0.733339818182755,10000.0
