,precision,recall,f1-score,support
0,0.67578125,0.692,0.6837944664031621,1000.0
1,0.6351039260969977,0.825,0.7177033492822966,1000.0
2,0.5801825293350718,0.445,0.5036785512167515,1000.0
3,0.5008976660682226,0.279,0.3583815028901734,1000.0
4,0.6682098765432098,0.433,0.5254854368932039,1000.0
5,0.5667011375387797,0.548,0.5571936959837316,1000.0
6,0.547741935483871,0.849,0.6658823529411765,1000.0
7,0.5975609756097561,0.784,0.6782006920415224,1000.0
8,0.7472745292368682,0.754,0.750622200099552,1000.0
9,0.6020761245674741,0.522,0.5591858596679165,1000.0
accuracy,0.6131,0.6131,0.6131,0.6131
macro avg,0.6121529950480251,0.6131,0.6000128107419486,10000.0
weighted avg,0.612152995048025,0.6131,0.6000128107419487,10000.0
