,precision,recall,f1-score,support
0,0.6730769230769231,0.7,0.6862745098039216,1000.0
1,0.6341463414634146,0.806,0.7098194627917217,1000.0
2,0.5684596577017115,0.465,0.5115511551155115,1000.0
3,0.5432780847145487,0.295,0.38237200259235254,1000.0
4,0.6586059743954481,0.463,0.543746330005872,1000.0
5,0.5643153526970954,0.544,0.5539714867617108,1000.0
6,0.5526992287917738,0.86,0.672926447574335,1000.0
7,0.6347305389221557,0.742,0.6841862609497464,1000.0
8,0.7592233009708738,0.782,0.7704433497536946,1000.0
9,0.5927152317880795,0.537,0.5634837355718783,1000.0
accuracy,0.6194,0.6194,0.6194,0.6194
macro avg,0.6181250634522024,0.6194,0.6078774740920745,10000.0
weighted avg,0.6181250634522023,0.6194,0.6078774740920744,10000.0
