,precision,recall,f1-score,support
0,0.7618586640851888,0.787,0.7742252828332513,1000.0
1,0.8063348416289593,0.891,0.8465558194774346,1000.0
2,0.6926605504587156,0.604,0.6452991452991453,1000.0
3,0.6622998544395924,0.455,0.5394190871369294,1000.0
4,0.7395944503735326,0.693,0.715539494062984,1000.0
5,0.6963906581740976,0.656,0.6755921730175077,1000.0
6,0.6659242761692651,0.897,0.7643800596506178,1000.0
7,0.7338638373121131,0.83,0.7789770061004223,1000.0
8,0.8527291452111225,0.828,0.8401826484018264,1000.0
9,0.7692307692307693,0.75,0.759493670886076,1000.0
accuracy,0.7391,0.7391,0.7391,0.7391
macro avg,0.7380887047083355,0.7391,0.7339664386866195,10000.0
weighted avg,0.7380887047083357,0.7391,0.7339664386866195,10000.0
