,precision,recall,f1-score,support
0,0.7507136060894386,0.789,0.7693807898586056,1000.0
1,0.8065727699530516,0.859,0.8319612590799031,1000.0
2,0.6662946428571429,0.597,0.629746835443038,1000.0
3,0.6687598116169545,0.426,0.5204642638973732,1000.0
4,0.7323177366702938,0.673,0.7014069828035435,1000.0
5,0.6831364124597207,0.636,0.6587260486794407,1000.0
6,0.6590574374079529,0.895,0.7591178965224766,1000.0
7,0.7307343608340888,0.806,0.7665240133143129,1000.0
8,0.8378378378378378,0.837,0.8374187093546773,1000.0
9,0.7310278578290106,0.761,0.7457128858402744,1000.0
accuracy,0.7279,0.7279,0.7279,0.7279
macro avg,0.7266452473555491,0.7279000000000001,0.7220459684793645,10000.0
weighted avg,0.7266452473555493,0.7279,0.7220459684793645,10000.0
