,precision,recall,f1-score,support
0,0.7221115537848606,0.725,0.7235528942115769,1000.0
1,0.6836483155299918,0.832,0.7505638249887235,1000.0
2,0.6082603254067585,0.486,0.5403001667593107,1000.0
3,0.5659340659340659,0.309,0.3997412677878396,1000.0
4,0.6840052015604682,0.526,0.5946862634256642,1000.0
5,0.6057692307692307,0.567,0.5857438016528925,1000.0
6,0.5624203821656051,0.883,0.68715953307393,1000.0
7,0.6701570680628273,0.768,0.7157502329916123,1000.0
8,0.7787610619469026,0.792,0.7853247397124442,1000.0
9,0.6184738955823293,0.616,0.6172344689378757,1000.0
accuracy,0.6504,0.6504,0.6504,0.6504
macro avg,0.6499541100743039,0.6504,0.640005719354187,10000.0
weighted avg,0.649954110074304,0.6504,0.640005719354187,10000.0
