,precision,recall,f1-score,support
0,0.771539206195547,0.797,0.7840629611411707,1000.0
1,0.8044692737430168,0.864,0.8331726133076182,1000.0
2,0.6652360515021459,0.62,0.6418219461697723,1000.0
3,0.6757164404223228,0.448,0.5387853277209862,1000.0
4,0.7522935779816514,0.656,0.7008547008547008,1000.0
5,0.7123745819397993,0.639,0.6736953083816553,1000.0
6,0.6442376521116678,0.9,0.7509386733416771,1000.0
7,0.7366110623353819,0.839,0.7844787283777466,1000.0
8,0.8496468213925328,0.842,0.8458061275740834,1000.0
9,0.7564870259481038,0.758,0.7572427572427572,1000.0
accuracy,0.7363,0.7363,0.7363,0.7363
macro avg,0.736861169357217,0.7363,0.7310859144112167,10000.0
weighted avg,0.736861169357217,0.7363,0.7310859144112168,10000.0
