,precision,recall,f1-score,support
0,0.7447698744769874,0.712,0.7280163599182005,1000.0
1,0.7067545304777595,0.858,0.7750677506775068,1000.0
2,0.6364779874213836,0.506,0.5637883008356546,1000.0
3,0.5916230366492147,0.339,0.43102352193261284,1000.0
4,0.6722288438617402,0.564,0.6133768352365416,1000.0
5,0.6329113924050633,0.6,0.6160164271047228,1000.0
6,0.6060606060606061,0.88,0.7177814029363785,1000.0
7,0.6592039800995025,0.795,0.7207615593834995,1000.0
8,0.7582417582417582,0.828,0.7915869980879541,1000.0
9,0.6875675675675675,0.636,0.6607792207792208,1000.0
accuracy,0.6718,0.6718,0.6718,0.6718
macro avg,0.6695839577261583,0.6718,0.6618198376892291,10000.0
weighted avg,0.6695839577261583,0.6718,0.6618198376892291,10000.0
