,precision,recall,f1-score,support
0,0.7516587677725118,0.793,0.7717761557177616,1000.0
1,0.8126721763085399,0.885,0.8472953566299665,1000.0
2,0.6872246696035242,0.624,0.6540880503144654,1000.0
3,0.662704309063893,0.446,0.5331739390316796,1000.0
4,0.7604519774011299,0.673,0.7140583554376658,1000.0
5,0.68125,0.654,0.6673469387755102,1000.0
6,0.6737804878048781,0.884,0.7647058823529411,1000.0
7,0.7302688638334779,0.842,0.782164421737111,1000.0
8,0.8518518518518519,0.828,0.8397565922920892,1000.0
9,0.7744209466263847,0.769,0.7717009533366783,1000.0
accuracy,0.7398,0.7398,0.7398,0.7398
macro avg,0.7386284050266191,0.7398,0.7346066645625868,10000.0
weighted avg,0.7386284050266192,0.7398,0.7346066645625869,10000.0
