,precision,recall,f1-score,support
0,0.9969418960244648,0.9979591836734694,0.9974502804691484,980.0
1,0.9964819700967458,0.9982378854625551,0.9973591549295775,1135.0
2,0.9951690821256038,0.998062015503876,0.9966134494436382,1032.0
3,0.9931102362204725,0.999009900990099,0.9960513326752222,1010.0
4,0.9969356486210419,0.9938900203665988,0.9954105048444671,982.0
5,0.9977477477477478,0.9932735426008968,0.9955056179775281,892.0
6,0.9979013641133263,0.9926931106471816,0.9952904238618524,958.0
7,0.9941690962099126,0.995136186770428,0.9946524064171123,1028.0
8,0.9938461538461538,0.9948665297741273,0.9943560800410467,974.0
9,0.9930486593843099,0.9910802775024777,0.9920634920634921,1009.0
accuracy,0.9955,0.9955,0.9955,0.9955
macro avg,0.995535185438978,0.995420865329171,0.9954752742723085,10000.0
weighted avg,0.9955035312326216,0.9955,0.9954990753834356,10000.0
